train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
2.182442,1.048391,0.87475896,0.6146681,-0.5542025,2.7775562,1.5243169,1.1321988,0.46967465,0.5344368,2.6030924
3.795549,2.0051982,1.1347592,1.4981656,1.4839332,2.1187973,2.582889,1.2742481,1.3023287,1.2313217,3.8333619
-0.020438394,-0.3961306,0.20094322,-0.64818805,-1.3768929,-2.6429064,-1.2041953,-0.1530105,0.006745499,-0.46715847,-0.21533383
2.682088,0.31442064,0.18862191,0.2834981,0.19420147,-0.014899886,0.6306923,0.5264841,0.46835652,0.97405946,2.4441826
0.71797085,1.6811103,2.562215,1.071479,0.45463505,2.75021,2.093207,1.1615682,0.71218354,0.71023613,3.1544797
0.39528528,0.5176908,0.9373307,-0.25710562,-0.10043316,0.6768246,-0.01001358,-0.37301427,-0.58363444,-0.39323175,0.70333725
-0.4001975,-1.5680377,-1.1541284,-0.66225094,-1.2404515,-0.5757779,-1.1554782,-1.4549094,-1.8484553,-1.1928252,-1.6912551
1.114675,0.34649017,0.12596607,-0.01949194,-0.40654173,1.9272897,1.3338455,1.2511718,1.3413012,0.6313169,2.3234234
3.0951173,0.3630932,-0.007054852,-0.4924643,-0.43039486,1.0960532,0.93857485,1.0506657,1.3344835,0.54164135,2.007609
-0.14365886,0.9518706,1.0794612,1.0621387,-0.46855882,-1.2843598,-1.4707198,-1.7407739,-1.2823477,-0.8483926,-1.588292
-1.5989641,-0.628719,0.38192895,0.15209548,-0.6426902,-3.5328434,-3.0574026,-1.254304,-1.7233298,-2.011109,-1.9570271
2.277133,0.70885223,-0.12218867,0.36702546,-0.36170688,1.4064525,1.5238967,1.2205852,0.40093094,0.616135,2.6394138
1.5181134,0.9012142,1.7132921,1.3056629,-0.008328326,-3.8649049,-2.5255232,-2.3825514,-1.5322901,-1.0565188,-1.931325
3.3677306,0.16754113,0.06923307,-0.6377994,-0.20617469,-0.157549,0.051386967,0.10880545,-0.0013344906,0.5202326,1.5995275
3.1749005,2.7126749,2.3347545,0.9299843,0.23942782,-2.4283333,-2.135833,-1.0311288,-0.7601865,-1.1965712,-1.5959567
1.2394814,1.264485,2.0700347,1.4415956,0.44388792,0.133967,-0.72642905,-0.5024001,-0.18078475,-0.17810714,0.3334182
1.9134191,0.27117112,1.2129874,0.9285471,-0.23864064,1.4218289,-0.9054696,0.61057353,0.15634987,-0.0015336293,0.2872331
1.8507749,0.62510294,1.5951697,0.7534223,0.042861037,0.3785865,1.3788631,1.1840252,0.9973621,0.59130406,2.4501681
-1.0321168,0.49996877,0.39704373,0.4233717,-0.041642103,0.2901498,1.1724883,-0.06111494,0.40415186,-0.18945156,2.0803747
1.9923027,1.1835948,-0.1260797,0.0066394242,0.036790974,-2.093944,-1.6978173,-1.5228416,-0.09492843,-1.4129604,-1.2608627
1.9112465,0.6783374,0.599558,0.8048637,0.566482,-0.51179737,-1.1956023,-1.4937931,-0.83002496,-0.694203,-0.9557015
0.4989184,1.4468976,0.5841712,1.173356,0.5871015,4.134689,0.67184323,1.7311314,1.0850466,1.2478006,2.2790642
3.5072658,0.9620007,0.5569251,0.718549,0.040972512,1.3107939,-0.06505888,0.8734931,0.46832684,-0.4368578,0.7720526
0.002475096,-1.7439691,-1.8991668,-0.8255133,-0.48055685,-3.3742008,-3.2329948,-2.8648396,-2.7301986,-1.1566595,-1.0091629
0.48624712,-0.038636807,0.24288057,-0.6273843,-0.28201893,-1.2928132,-1.7390412,-0.09488541,-0.12232413,-0.8423587,-0.8887388
1.0388342,-0.1381322,-0.2531713,-0.7715958,-0.09854235,-2.9010012,-1.6068095,-0.8835107,-1.1523438,-1.1246822,-1.4017446
0.32736212,-0.26138514,-0.6601944,-0.3076082,-0.0694204,0.12723558,-0.16756831,0.5805215,-0.03228433,0.21533298,1.0985025
0.01986823,-0.49168554,-1.096162,-0.5889693,-0.5702454,-1.5612247,-1.7644064,-0.8167939,-0.4689907,-1.276043,-1.1840613
0.13388593,0.41381872,0.65515465,0.08798298,0.5234337,-2.1328337,-1.9252089,-1.3850564,-0.8804981,-1.0378128,-1.5946379
-0.5500659,-1.06494,-0.0327636,0.011383889,-0.30461103,2.1089067,-0.47732106,-0.23998974,0.046790846,-0.23680736,0.62438923
1.1594985,0.82223564,1.1464968,0.49569198,0.20544785,-2.1854656,0.22604279,-0.54478556,-0.4932157,-0.19520819,1.0405657
3.1720257,1.1731937,0.83060306,1.2879244,0.3479984,-0.9197162,-0.4264113,-0.40971425,0.72695583,0.01149944,0.8249857
2.3997407,-0.17001139,-0.12834793,0.19319995,0.18746991,0.6051863,0.29322618,-0.10228613,0.7832258,-0.016218811,1.4327922
3.0320673,2.5008488,2.661422,1.1518573,0.57885987,-1.0255108,-0.18732335,-1.2053574,-0.38522875,-0.7086534,0.2873465
-2.3713295,-1.9258837,-1.3174077,-1.247758,-1.2524029,4.104481,1.9386975,1.9561871,1.7005798,1.0096487,2.7218964
-0.599713,-0.49526593,-0.11667891,-0.50373864,0.31088737,0.25732234,-1.4893385,-0.33098102,-1.1348617,-0.70832103,-1.1237026
2.1530864,-0.5131087,0.32378152,-0.20522009,-0.80441505,3.6695516,1.3744094,1.6503752,0.9466513,0.79066384,2.4591923
-0.090409204,-1.0490234,-0.8403751,-0.48136473,-0.40511468,1.6126516,0.39933753,0.37941882,0.50568074,0.25058153,1.6863514
3.6497555,1.2944883,1.6317475,1.1237926,0.5158964,-1.4816097,-1.2641203,-1.2280507,-0.84377533,-1.2324053,-1.0470598
0.20706852,-0.5551997,-0.97825164,-0.20769149,-1.4634973,0.4689111,0.22368142,1.185808,0.68867904,0.3293051,1.3731899
4.7055216,1.4467202,1.1854935,-0.016864918,0.55235916,-1.5760815,-2.1571724,-1.505745,-2.233838,-1.5186484,-1.9063133
0.95404863,1.1344175,0.23923574,0.049259458,-0.081383795,2.4050624,0.7490058,0.5261063,0.20815077,-0.030442916,1.7529681
0.2816561,-0.32729974,0.63423324,0.1675445,-0.68280625,-1.9683416,-1.3719957,-0.33087328,-0.57764065,-0.8370899,-0.7239342
1.6073911,-0.046249155,-0.22825743,-0.29862878,-0.40568438,-2.0101826,-0.6499992,-0.4038876,0.5070777,0.81277657,1.3114089
0.463531,-0.06551178,0.62461615,0.22971795,-0.6757272,-5.4174056,-3.7367835,-2.8351367,-2.077406,-2.212211,-1.5250638
0.8948884,-0.7133489,-0.3301677,0.049641274,-0.59468037,-1.675775,0.73790675,-0.69758654,0.9912737,0.7226706,2.2375145
3.724825,0.9694333,0.66144717,0.9251067,0.54161215,-0.41032857,-1.5244608,-0.7168172,-0.8891137,-1.1386597,-1.1422211
1.9986771,0.2779545,-0.43780708,0.26490247,0.28148738,5.113625,2.8154309,1.6746598,1.2352331,1.2959934,3.9435751
1.5172018,0.08306969,0.47303316,-0.10901798,-0.50546855,0.28383902,0.24633898,0.2741568,0.48134515,0.13428372,1.4958559
0.3846644,0.4812281,0.9641243,0.5917113,-0.12986173,-1.0584704,-2.7887485,-1.7727122,-1.4783006,-0.8516775,-2.0097156
-0.96111906,-1.1151712,-1.4807049,-0.7588895,-0.59140825,-2.0845726,-1.270252,-1.3159655,-0.3752236,-0.7415237,-0.7479158
0.45087463,-0.050002366,0.10839154,-0.29694545,-1.1878548,-2.3395782,-1.8796052,-1.5557437,-1.3927634,-1.3933384,-1.8967755
2.4926114,1.6012956,1.3896796,1.0596902,-0.04789489,-2.0237463,-2.0244377,-2.4092147,-2.0758977,-1.0478691,-1.8602407
3.1718833,2.4400225,2.483838,2.0839794,0.55741966,-0.70546097,1.0038502,-0.28446665,0.7127022,0.22226886,2.1657047
3.6635783,1.8811672,1.1262344,0.053037755,0.45939645,-3.661078,-2.2657552,-0.31313878,0.105634175,-1.3470592,-1.34116
1.8260554,1.4460126,1.3502038,0.14066742,0.7198278,0.7426034,1.1743547,0.7372976,1.3514779,0.8990878,2.5792463
0.75774676,0.59434,1.1020756,0.5136288,-0.0077896593,0.11216768,-0.15858072,0.1624201,-0.033860642,-0.6967429,0.6718947
0.5449702,1.6420411,2.5291486,2.2457192,0.597016,2.1996486,1.6653883,0.27360845,0.69136333,0.9665989,3.2714155
3.668359,3.1620946,1.5568087,1.4796127,1.2671782,-0.53397727,1.0018883,-0.29871804,1.1727599,0.3617886,2.1607668
1.9038546,0.68730026,0.77964497,0.8353421,-0.01867342,0.23154873,0.36378524,0.96431607,0.023591816,0.024448352,1.3259745
0.73996824,-0.060871053,0.058741547,-0.100240014,0.710758,0.3342967,-0.29465792,0.5004256,0.38222516,0.4357247,1.2348531
