train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
-0.84633297,0.2959529,-0.1751875,0.1577299,-0.025388809,-0.0012609381,0.2631667,0.31284997,0.6252475,0.56812763,0.25959855
-2.6231647,-1.9140698,0.017095495,-0.6592695,-0.05252442,0.07880251,-0.100526735,-0.2199884,-0.5432409,-0.37189326,0.28170252
-1.1221423,0.6797969,1.1489968,1.3378985,1.1812575,0.21693332,-0.02543339,-0.17827033,-0.43628392,-0.34777063,0.37869376
-1.6432254,-0.51030684,0.01413169,0.8281251,0.46794993,0.16288593,-0.3935571,-0.48571414,-0.69763136,-0.6645715,-0.14952123
-2.2606776,-0.78604126,0.3869495,0.8895092,1.0351367,-0.09981973,-0.41445562,-0.36057505,-0.25892323,-0.4756099,-0.3372603
-1.4476379,-1.1152176,0.0341548,0.70124525,0.9121889,0.43516016,0.5950449,0.31415585,0.33811602,0.2716257,0.9687045
-2.170145,-1.0094342,-1.1480726,-0.61125034,-0.88432276,0.09899389,-0.11293566,-0.05051635,-0.21393998,0.052478444,0.08241886
-0.15839759,-0.9773299,-0.972864,-0.52513164,-1.1490885,-0.34140754,-0.1153511,0.3453247,0.547577,0.34290034,-0.10602945
1.0225352,-0.16910394,0.42415133,-0.6452013,-0.33805552,0.22135942,-0.03844498,0.0047185775,-0.29935393,-0.3208898,0.48037773
1.4131255,1.9826977,1.0370852,0.81377393,0.9071134,-0.26684096,-0.3846872,-0.3806663,-0.4800246,-0.6711958,-0.09540713
0.9305458,0.8095341,1.9456183,0.5691154,1.0947294,0.29819304,0.24700694,0.11800333,-0.00836423,0.017493393,0.66253585
1.0416304,0.56914246,-0.985489,-1.0714904,-1.1575608,0.03251896,0.0804774,0.15493572,0.05789379,0.019606145,0.44051605
-1.2152977,-0.29484916,-0.4788373,-0.49010158,-0.78990954,0.2909162,0.09757155,0.36299235,0.1796993,0.05737906,0.5908175
0.5042515,-0.791947,-0.04950879,0.20953771,-0.5346854,0.1838216,-0.2635591,-0.16379096,-0.27514085,0.022790216,-0.2071481
-0.4298106,0.3042961,0.17074862,-0.17271093,0.08827449,-0.2232502,-0.33681408,-0.2799409,-0.030906841,-0.03688834,-0.51709354
1.0859568,0.23876323,1.0698032,1.3579438,0.9219415,-0.42254058,0.2034254,0.40994394,0.6731118,0.6503879,0.2246545
0.51841414,0.90236455,1.359791,0.9953735,0.7291234,0.16894332,0.14491203,0.10716872,0.3270944,0.082031846,0.271383
-2.1801388,-1.0837121,-1.042798,-1.667875,-1.265842,-0.26970536,-0.45788786,-0.28991058,-0.36292928,-0.2744149,-0.40368748
0.1525622,-0.27493683,1.0222039,1.0246598,1.4968308,0.07389327,0.056589767,0.41544113,0.2809206,0.3435572,0.4114142
1.0443095,0.98942536,1.8690389,1.2857006,1.3919764,0.07529033,0.019203804,-0.15685861,-0.09089249,0.0713063,0.0839355
-0.7751943,0.24610296,-0.26409423,0.6876021,0.026205312,-0.013414448,0.16120037,-0.11796172,-0.13787058,-0.17010473,0.46592575
-0.83101445,-1.2406617,-0.4573743,-0.17742267,0.2863581,-0.060496416,-0.043146715,0.012969297,-0.22274165,-0.033461217,0.2945627
3.62382,1.2076522,0.51310736,0.54336035,0.9530457,0.7779126,-0.37857056,-0.039272793,0.08835829,-0.09068795,-0.3742395
2.9251115,0.33768946,1.0604721,1.219424,0.63133395,0.4247339,-0.009078445,-0.40410677,-0.08529813,-0.21125688,-0.06247759
0.845681,0.7619514,0.1762348,0.84672904,0.5735851,0.061717544,0.10825503,-0.09925828,-0.023491053,-0.035502877,0.28232348
-0.6505696,-0.8412541,0.23752375,-0.98952824,-0.13560699,0.27316833,-0.06340845,-0.21847478,-0.668235,-0.77147216,0.628079
0.5521311,0.7959748,0.75453484,0.51519704,0.72932625,0.5310854,0.5667772,0.51385593,0.5629426,0.45769167,0.9199571
1.6428791,1.164314,1.1418716,0.4368536,0.5428752,0.29600593,0.58282286,0.7774271,0.8902566,0.6417707,0.8882647
-0.45745337,-1.5553087,-1.7471157,-1.6892971,-1.2838304,-0.74051166,-0.8584199,0.009837293,-0.0149198435,0.24929017,-0.9575623
-1.3421924,-0.83707297,-1.7291228,-1.9666681,-1.6693534,-0.34891033,0.0049630646,0.12451733,0.118205324,0.12594214,0.21783727
-1.4123378,0.1875859,-0.0040496453,0.06018456,0.29339954,0.581935,0.26750374,0.09967401,0.032309677,0.08156223,0.61903185
0.1715521,0.43087196,1.3720354,1.7912623,1.3310955,0.0040078512,0.36790267,-0.21922001,0.03884225,-0.24282847,0.5785174
-0.15579833,0.12192969,0.6446457,0.8908713,1.2103252,-0.70094573,-0.1833884,-0.60627353,-0.35318092,-0.4335933,-0.22383365
0.7706567,0.77207357,-0.9359344,-0.31267133,-0.81123316,-0.5037025,0.11658691,-0.27198303,-0.13291211,-0.09748861,0.20827311
-0.29561388,-1.1914392,-0.97762454,-0.84079313,-0.4966478,0.25345004,0.52664304,0.18660523,0.30349898,0.3220355,0.76885384
0.04516937,-0.84008104,0.84234935,-0.033653907,0.81279,-0.21074413,-0.32733616,-0.16032623,-0.29931667,-0.5261964,0.0339126
-0.6601039,-2.1386716,-1.3591554,-1.7211455,-1.7325146,-0.5824511,0.17964694,0.12354335,0.4291428,0.25845444,0.18900818
-1.5345,-0.24704717,-0.4699115,-0.005815823,0.25193793,-0.7072115,-0.75777507,-0.66036564,-1.0292839,-0.8108261,-0.6120968
-1.1365185,-0.5482144,-1.6979178,-1.4350148,-0.42910513,-0.45781267,-0.22977276,0.43283916,0.47672614,0.19595785,-0.060808778
0.6195049,1.1364784,0.025728194,0.24423675,0.2333844,0.7728372,0.9193186,0.79041976,0.4590524,0.64582115,1.5261798
-3.526941,-1.0436176,-1.2746406,-0.16335565,-0.62070113,-0.6592585,-0.36879444,0.07920021,0.27707118,0.34577584,-0.5409168
1.0567753,-0.46691877,0.08024952,0.2713834,-0.10672488,-0.054199144,-0.13690855,-0.58235437,-0.24122325,-0.3243815,-0.25551525
-1.908898,-0.20944695,-0.2237755,0.90045184,0.307553,-0.6065324,0.25969917,0.4926665,0.98690385,0.6060893,0.13813072
1.963578,0.87262833,0.93223584,0.88039804,0.8593667,0.13920139,-0.0010346114,0.27095455,0.47959736,0.51771134,-0.027469337
1.4122828,2.5404713,1.2822855,1.7211885,1.6741124,0.092884324,-0.15974106,0.0044689537,-0.20047618,-0.048462093,0.1179505
-2.5777402,-0.15369828,-0.7741122,0.036507986,-0.12008392,0.38576648,-0.26121873,0.00064750627,-0.32287386,-0.27358127,0.15018827
0.2066814,-0.69786733,-1.3699688,-0.55870545,-1.804248,-0.6304723,0.38453537,0.19802545,0.28784096,0.1301435,0.6903848
1.8762494,-1.1589364,-1.0945495,-0.8266071,-0.720064,-0.06651694,-0.48805413,0.10712453,-0.27616578,-0.14904532,-0.13455033
1.7156088,-1.1201686,-1.0386266,-0.7343428,-0.94774866,0.34818628,-0.11135324,0.2275815,0.057878688,0.15046135,0.19473666
-1.0166757,-0.9329545,-0.18626945,0.33762476,0.4051454,0.033824407,-0.43080437,-0.19235146,-0.2520714,-0.20894815,-0.3554439
-3.6673927,-1.6592443,-1.7586133,-1.4884375,-1.0297484,0.27648947,0.43343598,0.07883736,-0.28842095,-0.12565526,1.0519516
1.761038,-0.22165304,-1.5360934,-0.9169173,-1.4127742,-0.77652436,-0.64182794,-0.99895453,-0.90089333,-0.8147748,-0.6803777
-1.17847,-1.4667631,-1.3489015,-1.2100155,-0.6828372,0.13066567,0.3012632,0.37162894,0.5052143,0.4948232,0.48592895
1.2182468,0.39720753,0.5477947,0.85151124,0.36218628,0.102468096,0.26771688,0.17290863,0.4731866,0.326553,0.30536622
-1.3149694,-1.06228,-0.008435673,-0.28620473,0.7261572,-0.07252014,0.18542157,-0.24411061,-0.43873557,-0.4531435,0.6621695
-2.0545576,-1.0413804,-0.7519008,-0.3967314,0.5621188,-0.5795553,-0.10545109,0.2249297,0.44882223,0.31988746,-0.13960251
0.7709922,0.76669073,1.1354587,1.0359895,1.4702723,-0.23763998,0.15561232,0.14824355,0.026291447,-0.25532803,0.6902147
-0.39202574,-0.48981383,0.15124674,-0.31448758,-0.40302366,-0.26086247,-0.05808549,0.29673988,0.6414913,0.6153358,-0.23349354
-0.016385313,0.8639683,1.3851126,0.9721617,0.7136192,0.020643318,0.2518873,-0.17369664,-0.072853275,-0.071729675,0.44662338
0.4269017,0.080370285,-0.2141946,-1.251708,-0.884007,0.2157676,-0.1974723,-0.10557938,-0.16591154,-0.094682105,-0.047923207
-0.7847926,-0.28801176,-0.044856094,0.21331033,-0.16050227,-0.032463893,-0.32647997,0.0130662415,-0.19263496,-0.0054299035,-0.13157192
2.311757,0.62889993,-0.4708838,-0.7467255,-0.058290754,-0.95192623,-0.3328733,-0.20798403,0.12776983,0.06983041,-0.5830256
0.5295406,-0.7962966,-0.9133756,-0.772273,-0.6347291,-0.7683883,-0.49096793,-0.4944285,-0.54178643,-0.1442145,-0.6368705
1.3516017,0.6387074,0.44579437,0.17408198,-0.26838887,0.4619381,0.24809872,-0.07324104,-0.24783269,-0.39891887,0.8027672
-0.3155288,-0.97298545,-0.5837296,-0.14928186,-0.038521603,0.39525977,0.27963233,0.3353847,0.33957028,0.4403648,0.5552731
-2.0677931,-0.45258293,-0.63646233,0.04450201,-0.2937306,-0.56943434,0.38063973,0.3621758,0.5833193,0.54326147,0.506452
-2.0372157,-0.31217614,-0.5848135,0.15207301,-0.09727463,-0.7057706,0.0091274055,-0.3167732,-0.1822642,-0.21674871,0.10234648
3.2851796,1.3906468,0.64986825,-0.3454255,-0.59864134,0.46474224,0.47905767,0.48611775,0.47856665,0.40582237,0.86762387
0.2292255,0.13318361,-0.850389,-0.4252639,-1.050133,-0.45460558,-0.18243809,0.086323954,0.3171434,0.49718502,-0.35822013
-1.3838816,-0.9475874,-0.46135035,-0.5788397,-0.7581959,-0.12844506,-0.09158806,-0.063785076,-0.12560478,-0.14816752,0.15382367
2.5430357,1.8781819,0.9079698,0.29631934,0.74746674,0.5007873,0.42802095,0.09071648,-0.22448301,0.072324865,0.94299287
-0.56650627,-1.0391357,-1.0557722,0.58393866,-0.3688429,0.3484083,0.47958168,0.096951514,0.23312598,0.09494823,0.75253683
2.1704571,1.1206545,-0.51753855,-0.39755046,-1.2418739,-0.23361985,0.042848147,-0.31354687,-0.65966123,-0.66027683,0.60201615
1.9699908,0.41505605,1.8007563,0.5549777,0.6373949,-0.3520728,-0.32915688,-0.14692846,-0.27243203,-0.06969705,-0.23606738
1.5259839,-0.024985,0.60701305,1.0115318,0.35754842,0.14294156,-0.04228373,-0.33787245,-0.16279788,-0.28703335,0.039190173
2.1252892,2.8133004,2.7279325,1.7146957,1.4947304,0.6058609,0.38311052,0.31719247,0.46127105,0.39782298,0.5952284
0.4613384,1.0737381,1.205058,1.1478076,0.5819947,0.33906302,-0.4317808,-0.05111497,-0.28869864,-0.06849394,-0.2673812
1.7316062,2.2941253,1.2315072,1.5287808,-0.21953364,0.57937545,-0.027692892,-0.0398255,-0.2748126,-0.19829562,0.36902207
0.9120164,0.35280028,0.065634504,-0.836686,-0.3313575,-0.4865185,0.06005215,0.24959986,0.59152186,0.50936216,-0.050570846
0.87342066,0.24227898,-0.21982935,-0.37707138,0.03640023,-0.21677521,-0.38687614,-0.293722,-0.32391977,-0.24320263,-0.34718078
5.10548,1.1281506,1.1844119,0.8691203,0.9052685,-0.6082284,0.059601188,0.068202354,0.2686703,0.29970744,0.061676025
-2.1090178,-0.9384953,-1.8946754,-0.11327401,-0.30874217,0.19334143,-0.40195104,-0.37637192,-0.6447934,-0.48282817,-0.19525829
1.0291262,-0.2883952,0.022741994,-0.7458226,-1.1338764,0.5592,0.41788515,-0.13973412,0.14920497,0.24486905,0.42833573
1.1491674,0.5039065,0.8849877,0.43280867,1.1832926,0.21677403,0.48197743,0.5791674,0.6836036,0.7262114,0.7338889
0.83053976,2.0752041,2.1664839,2.8737688,3.0836244,0.16814965,0.021905586,0.17184755,-0.21262723,-0.120692104,0.590921
0.36945677,1.0496043,2.638708,1.6771448,1.4362662,-0.6792116,0.15399513,0.050002813,0.3622126,0.18118407,0.15334779
0.8686115,0.14154588,-0.64018106,-0.26256952,0.38103926,-0.01976619,0.2835369,-0.0046217022,0.40078688,-0.076934285,0.36177033
