train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
-0.47012684,1.7209588,1.0225185,1.1148381,1.3047514,0.1033209,0.47058567,0.7045144,1.0184412,0.8069884
2.5049493,3.079359,1.5549023,2.5479858,2.4095678,1.134495,1.2647306,1.1285235,0.38528228,0.58636427
1.0859632,-0.8726889,-0.30761832,-0.8752215,-0.5692027,1.1614034,0.5939091,0.5363042,0.73491234,0.82498556
-0.76513565,-1.9001571,-1.7028428,-1.7701659,-1.562355,-1.0644534,-0.22918147,0.7997161,1.2100909,0.8433018
-0.30680823,0.41887337,0.2737735,0.72869307,0.6544552,1.4951358,1.689562,0.98844177,0.73379785,0.8578406
-2.9409313,-3.0562587,-2.1893022,-1.7713804,-2.3073924,0.52077246,-0.01199516,0.121776424,-0.44782984,-0.68633336
0.99465674,0.35201317,-0.50817525,0.08995861,0.36969098,-0.24463227,-0.065660805,-0.20738548,-0.046089634,0.15112017
-2.6166885,-2.5664587,-1.240462,-1.7616119,-1.8970412,-0.6825779,-0.5931022,-0.5473316,-0.5597869,-0.45062864
-0.94755995,-0.8069651,-1.5597388,-0.7755672,-0.6490879,1.225313,1.735456,2.3091516,2.0790057,1.9913996
-0.5068928,-0.28361356,0.108608365,0.6028074,-0.17967415,-0.18593054,-0.24113221,-0.9373219,-1.6832216,-1.3131956
3.7787523,1.0770514,0.69779223,0.28505978,0.41774765,0.8000361,0.15380324,-0.5597074,-0.5134302,-0.63133097
2.7640316,-0.31154782,-0.3752428,-0.73900074,-0.6251702,-0.50952226,-0.40610573,-0.0068627503,-0.27832782,0.12719877
-2.0554757,-3.02226,-2.6043541,-2.062073,-2.0834918,-0.6530621,-1.0404907,-0.5966952,-0.7395345,-0.83897865
0.10154241,-2.066258,-2.0766816,-1.7927508,-1.5570854,-0.37911877,-0.06844703,-0.42353204,-0.51201326,-0.43984252
2.2230318,0.23126961,-0.110408165,0.52304053,0.22320148,0.250097,-0.18699321,-0.73028755,-0.45959398,-0.11520405
0.6681906,-0.6731411,-0.58335954,-0.8557452,-0.37520015,1.627902,1.4040126,0.9697743,0.6839836,0.6223611
-2.0331,-0.8999552,-0.29966438,-1.1632481,-0.37603775,2.797089,1.9445745,0.7746519,1.3408313,1.1489383
-1.0918003,-1.0822971,-0.040236387,-0.6998952,-0.6459818,-1.0074909,-0.41515467,-0.06250455,0.23919508,-0.017720401
-0.12796977,0.020637237,-0.04436772,0.12072249,0.35180658,-1.4082435,-0.4247656,0.059096884,0.0077616554,-0.4010244
-0.3015813,-0.9753294,-0.21949346,-0.4867422,-0.62123424,2.015592,1.4647529,1.3531301,1.2140751,1.0959059
-2.043115,-2.400574,-2.8167999,-2.7558985,-2.852066,1.1498761,0.49798062,0.4455775,0.30135962,0.28498858
-1.2281095,-2.0377905,-0.5328153,-1.8281397,-2.1445086,-1.386449,-0.7641785,-0.6057821,-0.7016276,-0.4441559
-0.72988254,-0.18195887,-0.43984678,-0.5620897,-0.15003529,2.9168253,1.7908837,0.8476968,1.0228521,0.8497798
-2.7444966,-1.0160322,-0.7849979,-0.47468653,-0.22144055,1.469822,0.49952,-0.2859895,-0.28418815,-0.08867987
-1.5629237,-1.8571782,-1.4893001,-1.7503145,-1.9827827,-0.7165105,-0.45692983,0.23688145,0.45366412,0.38478246
1.2131642,0.65272266,-0.24228188,0.57061553,0.4516093,1.495611,1.1295145,0.8707216,0.34578273,0.40287766
2.8239172,2.1015751,1.3025175,1.380249,1.1987165,-1.2440974,-0.30703393,0.23226331,0.34456524,0.44965276
-1.2562039,-0.5393268,-0.63524336,-0.8287778,-0.9368862,-0.34560832,-0.02039122,0.11017288,-0.5385278,-0.690121
1.0732808,0.6652125,-0.12574661,1.3988495,1.609166,-0.89951104,-0.51486146,-0.6630986,-0.49462342,-0.66361576
2.366861,2.446324,2.4803526,2.0531795,2.3715293,1.0880241,0.06288307,0.23485851,0.16064939,0.3028133
-0.14597216,0.92150414,0.18280314,1.0844873,0.74736446,-0.35812315,0.75121593,1.33009,1.7994192,1.511209
0.2958761,0.5075767,0.32680222,0.6305968,0.5053947,2.21893,2.0190911,1.2163436,1.1353234,1.1058661
3.306352,1.2212268,0.81601053,0.92235017,1.1233006,0.22199914,0.21552037,0.1034564,0.09000978,0.21348181
2.1428242,0.8875325,2.0128167,1.4402598,1.36437,1.9755391,0.8770461,0.27535155,0.05730978,0.331546
1.7072258,-1.2693247,-1.3391043,-0.88903016,-0.4991543,2.2892747,1.9957294,1.3925338,1.1652099,1.2255837
0.6176052,-0.59026104,-0.14669777,-0.45322883,-0.54810226,-0.20087226,0.7365806,0.5842718,0.83617336,0.68413734
-1.2878631,-1.3124902,0.5652446,-0.09729446,-0.66756535,-0.80382127,-0.88724583,-0.97010165,-1.1338569,-1.045868
-0.55039907,-0.6918197,-0.71399033,-0.09216079,0.37394813,1.899641,1.0494803,0.401829,0.40838778,0.36972794
1.7326912,-0.18327016,0.3064665,-0.12099914,-0.22528695,0.026403874,-0.2910046,0.39174268,0.006492115,-0.32425073
-1.5613137,-0.6499052,-0.6176421,-0.23683882,0.010829451,2.1225045,1.3768795,0.55096513,0.5689357,0.83336544
0.739072,0.30492595,0.69101906,1.5054619,0.8420739,-3.297944,-1.7409512,-0.45007443,0.28458622,-0.015306169
-0.04282421,-0.27903417,-0.36762425,-0.54834294,-0.119101696,0.34377334,-0.276293,-0.83708245,-1.0523173,-0.75429815
-1.2723155,-1.1183175,-1.0056496,-0.5371051,-0.24526176,1.0101833,0.59071606,0.47894713,0.41403246,0.38411185
-0.44897425,0.5163288,0.86694527,0.39053723,0.47109625,-0.18665634,0.26776332,0.57272637,0.4994759,0.32579318
-0.9421446,0.9816646,0.7993239,1.0246457,0.7809255,0.033437543,-0.32709634,-0.030366745,0.39798945,0.24820666
1.1089982,2.2570467,2.4774585,2.5763524,2.4158907,-2.0377824,-0.88267916,-1.6029875,-1.0501006,-1.1694567
-0.8114729,-0.6802457,-1.1874809,-0.42317957,-0.52833927,-0.825735,-0.79361993,-0.82573587,-1.1411036,-1.1811274
1.1601063,0.22316287,0.33124137,-0.28880274,-0.045252845,1.509421,0.91878605,0.41914177,0.3075889,0.30740115
-2.534973,-3.2095258,-2.856087,-3.13035,-2.9188275,-2.5593798,-0.52061623,-0.43371513,-0.23368263,-0.18672055
-0.25839072,-0.63524514,-1.0223861,-0.14429276,-0.08754469,-0.3286585,-0.29283807,-0.102739245,0.025539154,0.017488625
