train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
0.11767062,-1.2966645,-0.30376142,-1.2260702,-0.2538224,-0.0012609381,-0.09078998,-0.12666664,-0.13513015,-0.11633054,0.41578993
-5.1656876,-1.8898505,-2.0089784,-2.2879674,-1.4343126,0.07880251,-0.26188353,-0.55061513,-0.56599134,-0.7559416,0.04968199
-0.9608549,-1.3445064,-0.6050108,-1.2106496,-0.28179687,0.21693332,0.060254402,0.08191109,0.19102348,0.2422622,0.4487674
0.67212874,0.7777647,0.6544214,1.294792,0.17346506,0.16288593,0.07176793,-0.19734319,-0.28042266,-0.2514525,0.67836976
0.4378437,-0.21026666,0.1645227,0.22901314,-0.44025066,-0.09981973,0.2334287,-0.18878202,0.13687392,-0.08331817,0.80155754
0.43453515,0.22350721,0.45630524,0.7485986,0.61389875,0.43516016,-0.35573047,0.037763968,-0.22793211,-0.31551236,-0.114200145
-1.191413,-0.32378143,0.5741484,-0.108056985,0.07271185,0.09899389,-0.2518106,-0.20859039,-0.2785395,-0.304945,0.22962722
2.7261205,1.8756883,0.46562186,0.72386867,0.22576286,-0.34140754,-0.37394226,-0.29279026,-0.037703473,-0.051094167,0.12413868
0.53113854,0.11555857,0.7163876,0.42517713,0.43355137,0.22135942,0.2393699,0.108494885,-0.0534233,-0.035619535,0.6327934
2.0901217,0.7075522,0.64690524,0.26649496,1.1790805,-0.26684096,-0.14885376,-0.26283482,-0.087176815,-0.087280184,0.4306669
0.2551691,0.3504132,-0.7220686,-0.12476322,-0.08025549,0.29819304,-0.076044895,-0.046922084,-0.0069254236,-0.09476264,0.33516893
1.6125968,1.4851509,1.0561687,0.32642236,0.8891379,0.03251896,-0.46438795,-0.07227617,-0.23137854,-0.23082387,-0.15601388
-0.5608671,-1.3092821,-1.3279667,-0.76899517,-0.20189537,0.2909162,0.1786934,0.07913377,-0.12699047,0.05406283,0.63447094
-1.1361548,-1.2977206,-1.664029,-1.1909401,-0.96768796,0.1838216,-0.002122337,0.050644796,0.3082945,-0.02972974,0.2298958
1.0949764,1.00069,1.1239494,0.49147266,1.0666207,-0.2232502,0.019277133,-0.08788366,-0.29486325,-0.22682561,0.5258368
0.37310427,0.87510693,1.3497521,1.4534806,0.83759946,-0.42254058,-0.08757372,-0.32713795,-0.03863372,0.15426615,0.6259377
1.4296626,0.5408807,0.515863,1.380588,0.49985975,0.16894332,0.016538696,0.011807874,0.19245125,0.05920911,0.36661837
-2.7420838,-1.628849,-1.1468418,-0.7062803,-0.7193681,-0.26970536,-0.41122356,-0.21812262,-0.43374792,-0.43992355,-0.055378348
-1.0345163,-1.7784033,-0.7654939,-1.7737901,0.0091155805,0.07389327,0.047681574,0.18023154,0.11632106,0.0051154415,0.2592983
-2.5528345,-1.0530702,0.24903512,-0.8211349,-0.47450495,0.07529033,0.28417912,-0.023595268,0.31273887,0.35377085,0.87298656
0.62485737,1.0297742,-0.28873068,-0.08619911,-0.2941396,-0.013414448,0.16622595,-0.085447446,0.03894872,0.06933521,0.7197722
2.007577,-0.23587695,-1.0131718,-0.053091973,0.5858811,-0.060496416,-0.019537034,0.07681379,0.11369574,-0.06697977,0.25626954
-0.44792834,-0.33361456,-0.45751184,0.19640651,-1.042094,0.7779126,0.0012047387,-0.17956613,-0.20075329,-0.075301185,0.60453296
1.0277604,0.9136908,-0.4692581,-0.14197338,-0.22218305,0.4247339,0.47373012,-0.122960486,0.23221207,0.27248922,1.158774
-1.170586,-0.37614492,-1.5430996,-0.81892914,-0.45746455,0.061717544,-0.014592079,-0.018073285,-0.08728783,-0.018586807,0.43844613
-3.2129343,-1.3357835,-0.71054476,-0.43744928,-0.14385438,0.27316833,0.15645005,-0.25669712,-0.18039943,-0.14336923,0.8494972
2.7766557,2.6607258,1.2315881,1.427484,0.6374002,0.5310854,0.30425796,0.3535042,0.2541851,0.39942634,0.56915796
0.57950217,0.6826398,-0.2228265,-0.7466388,-0.7885156,0.29600593,0.26223972,0.45358983,0.41951382,0.33304775,0.27016577
2.3788328,-0.49611202,-0.4140255,0.19033647,-0.35530776,-0.74051166,-0.45248106,-0.40267563,-0.17447256,-0.17152056,0.082015604
1.5416747,-0.44355997,-0.29681307,-0.27298084,-0.32977486,-0.34891033,-0.21917666,-0.6342976,-0.22464347,-0.0054933606,0.5697745
-0.4583749,-1.066799,0.47320276,-0.24995068,-0.503164,0.581935,-0.15598907,0.1336948,0.16095875,0.21856323,0.10965106
-2.8752706,-0.94621813,-0.79379994,-0.61996037,-0.93182695,0.0040078512,-0.22804509,-0.025529813,0.031960774,0.06735369,0.14068124
2.4288177,0.75451106,-0.20197679,0.72612184,0.08531529,-0.70094573,-0.13753247,-0.12683189,-0.21427643,-0.14507134,0.35917637
2.6692677,1.412474,0.47169834,-0.172845,0.6157147,-0.5037025,0.12696616,-0.107696846,0.14176808,0.16683307,0.68630147
-1.9238068,-1.7036995,-0.607967,-1.2737079,-0.2051712,0.25345004,0.47809267,0.3506436,0.33845252,0.48046044,0.8421935
-0.49278864,1.2406117,0.35058865,0.9336796,0.34771034,-0.21074413,0.31446037,0.22886162,0.21892785,0.1857182,0.57186866
-0.29746762,-0.901352,-0.34901285,0.12749241,-0.13817124,-0.5824511,-0.41544476,-0.11339838,-0.21188065,-0.28211546,-0.06876221
-2.4232981,-2.1093822,-0.3749659,-0.6882742,-0.21653949,-0.7072115,-0.59175915,-0.86914366,-0.5302263,-0.2823793,-0.06904605
-2.6401513,-0.32014227,-1.0109555,-1.372812,-1.2908025,-0.45781267,-0.28533986,0.13426054,0.01808126,0.15069535,-0.042768985
1.0807565,0.2314719,-0.36963624,-0.4997342,-0.5884338,0.7728372,0.1596262,0.46488667,0.29365677,0.3564288,0.19812295
-0.47799262,0.07926688,-1.058395,-0.6027614,-1.1044228,-0.6592585,-0.50462765,-0.4330092,-0.16318382,-0.29398018,-0.0071931183
-0.5788839,0.09091437,-0.6056323,-0.9563943,-1.0164311,-0.054199144,-0.2789672,-0.40837115,-0.6482472,-0.4921153,0.08323178
1.8634534,1.1367536,0.6069641,0.8329924,0.9542532,-0.6065324,0.078048505,0.018289775,0.3959481,0.40378302,0.5858388
1.3913447,0.22697729,-0.121080756,0.09694706,-0.18687488,0.13920139,0.31372365,0.31729773,0.14468302,0.23119448,0.5315522
-1.9249593,-1.0731162,-0.3265614,0.061155804,0.36552566,0.092884324,0.3452615,0.14544651,0.3713163,0.11426257,0.5994477
-0.2525253,0.30045176,0.023167098,-1.0462124,-0.0074083614,0.38576648,0.3232159,0.6924476,0.5160511,0.20985664,-0.06701222
-1.2705529,-0.23412846,-0.072107784,0.05774275,0.054368537,-0.6304723,-0.1353895,-0.25166085,-0.31887886,-0.10052943,0.46685955
-1.4021593,-1.0879998,-0.47016248,-1.4100201,-0.74053913,-0.06651694,-0.2658739,-0.3102719,-0.07899371,-0.08764552,0.29421732
3.9298115,0.7968951,0.42016068,0.10700133,0.33591098,0.34818628,-0.23404123,-0.14205326,0.124592185,0.060621865,0.18667802
-1.3347511,-0.37366956,0.508738,1.0120766,0.5855675,0.033824407,-0.20243423,-0.09697283,-0.21975999,-0.0023074264,0.2804936
-2.5991046,-1.0069599,-0.100945234,-1.8907703,-1.6269469,0.27648947,0.634423,0.50978684,0.60053456,0.398531,0.6537349
3.1345892,0.9859109,-0.26465172,0.7814705,0.39966848,-0.77652436,-0.46014822,0.09860545,0.10867066,0.07125182,-0.3104569
0.21511947,-1.9472294,-0.6581453,-0.91733974,-0.4870067,0.13066567,0.3663708,0.06077656,0.009271813,-0.21003436,0.774356
1.5247926,-0.39558864,0.05329805,-0.2155334,0.2796783,0.102468096,-0.08541734,-0.18898064,0.028877785,0.15804502,0.5093421
0.28798372,-0.2752998,0.09669016,-0.22766554,-0.22605246,-0.07252014,0.10369547,0.20057215,0.2041623,0.094674446,0.30224034
-2.0636082,-0.32815343,1.3376347,0.4800271,0.5428995,-0.5795553,-0.46369576,-0.21283959,-0.15706947,-0.11681798,-0.040570408
-1.1314106,-1.8342767,-0.48150373,0.13097353,0.44490495,-0.23763998,-0.46984154,0.18746085,0.13494152,0.29484105,-0.30497792
-0.8237737,-0.78922004,-1.4687772,-0.5152787,-0.6692236,-0.26086247,-0.4610515,-0.1788913,-0.110825896,-0.01609478,-0.04698494
-0.3017183,-0.7484198,-1.3717201,-0.0947052,-0.60446864,0.020643318,-0.054223984,-0.063348465,0.1853055,-0.002146307,0.32219383
-1.2316083,-1.6571,-1.2415594,-1.043096,-1.0430597,0.2157676,0.2603669,-0.17752942,-0.13901131,-0.28346953,0.88391423
0.06877782,-0.9786382,-0.29105586,-0.22969946,-0.33553988,-0.032463893,-0.20348246,-0.34535232,-0.44786298,-0.3423058,0.3452265
0.2712478,-0.78236127,-0.032128032,-0.032127395,0.22297534,-0.95192623,-0.50552386,-0.26861754,-0.4408931,-0.04650094,-0.065399796
0.8874556,0.3470512,0.187872,-0.23022199,-0.0022710445,-0.7683883,-0.9651556,-0.52242726,-0.2795949,-0.2547903,-0.6291195
1.6669047,0.9711346,1.3397937,0.40337512,0.78792876,0.4619381,0.56685513,0.42952314,0.8941629,0.90526766,1.7594875
-3.1810343,-0.75411683,-0.6955081,-0.556453,-0.33552045,0.39525977,0.1777282,0.00825297,-0.17328884,0.115807146,0.73629034
0.52194774,-0.28127563,-0.9069349,-1.3502103,-0.89341396,-0.56943434,0.5522112,-0.009001056,0.24009965,0.13642372,1.0634788
-0.10467693,-2.2908826,-0.46523938,0.10255718,0.051213484,-0.7057706,-0.1894554,-0.05429191,0.10564724,0.037080012,0.17797801
2.072042,1.3295882,-0.406907,-0.21479629,0.09102232,0.46474224,0.5913663,0.49140218,0.45727208,0.42068034,0.6814624
0.7583721,0.996527,0.5963084,-0.020191006,0.5352809,-0.45460558,-0.48437324,-0.3330286,-0.587455,-0.3867043,-0.15306428
-0.852715,-1.1370175,-0.28864196,0.4408216,-0.19463083,-0.12844506,-0.015970496,-0.07664479,-0.08000513,0.0050563277,0.4924313
-0.11457962,-0.35080048,-0.3053538,-0.8970648,-0.4716104,0.5007873,0.5008137,0.03320414,0.22061343,0.0076179644,0.92243946
