train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
-0.47012684,0.85390615,0.9444335,0.96430343,1.44356,0.1033209,0.4107315,0.8437388,0.60061586,0.4118436,0.5676569
2.5049493,2.402468,1.7838306,1.8038067,1.8295469,1.134495,0.7177502,0.44197893,0.28936368,0.36079028,0.9517809
1.0859632,-0.28554815,-0.8367079,-0.16311702,-0.4442051,1.1614034,0.70486057,0.4551465,0.39045307,0.4273589,0.90790415
-0.76513565,-1.4438599,-1.6372892,-1.308965,-1.438496,-1.0644534,-0.0635128,0.46838334,0.6829762,0.60979366,-0.10876346
-0.30680823,-0.5155284,0.2527781,0.557408,0.55085415,1.4951358,1.5300146,1.1330757,1.2788285,1.0458162,1.5464865
-2.9409313,-3.1187618,-2.4945388,-3.0179095,-2.2607749,0.52077246,-0.22001532,-0.6908012,-0.6097516,-0.57680106,0.17933404
0.99465674,0.5409215,-0.14987527,0.19500636,0.031293612,-0.24463227,0.029657105,0.63714343,0.407219,0.28781885,0.15996277
-2.6166885,-2.143521,-1.7340367,-1.8786547,-1.8444275,-0.6825779,-1.0938367,-0.7732731,-0.6831413,-0.54157144,-1.0583186
-0.94755995,-0.922498,-1.0404801,-0.8653983,-0.7302381,1.225313,2.408847,2.0210958,1.792071,1.9638801,2.0258245
-0.5068928,-0.23983163,0.26426673,0.1732097,0.43002847,-0.18593054,-1.2009223,-0.84831566,-0.8381768,-0.79248494,-1.1570666
3.7787523,1.7330434,1.1404817,0.88931644,0.65816355,0.8000361,0.14261512,-0.16933529,-0.2529666,-0.20186949,0.49828613
2.7640316,1.0493386,-0.3488541,-0.37575236,-0.8837686,-0.50952226,-0.65743065,-0.27751404,-0.21449679,-0.18783677,-0.5351132
-2.0554757,-2.2252135,-2.2420394,-2.2651863,-2.259945,-0.6530621,-0.42537484,-0.6981758,-0.66002584,-0.694088,-0.049263418
0.10154241,-1.1277037,-2.2950683,-1.3668172,-1.1735107,-0.37911877,0.0736738,-0.0561702,-0.07101263,-0.09660018,0.37531734
