train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
1.4787592,0.07238132,-0.075730994,-1.0711938,0.05819961,0.79396015,1.1694896,0.8439627,0.998724,0.17030281
-1.5157279,-1.8872553,-0.86156386,-0.52993125,-0.6386013,5.214644,3.2473004,1.9257916,2.7629492,2.565501
2.711333,0.7797234,1.5797337,1.4633601,1.4287643,4.01406,2.4185717,1.9645236,1.7929857,2.4580963
2.9377637,0.8010318,1.7947176,1.642133,1.3126128,3.4235685,2.6088476,1.8316712,1.9517541,1.0065054
-0.96949273,-0.22374484,-0.5808054,-1.2532035,-0.61507887,5.141162,2.6327028,1.6188372,1.7521806,2.606251
2.6413476,0.59604967,0.87086415,1.076332,0.75838155,4.143561,1.4949689,2.0908866,1.2210958,2.3944206
2.2393281,0.3139168,0.6147428,0.6872565,0.6480062,3.1510987,1.6795775,0.71468353,0.92076313,0.78785896
0.12608974,0.5371303,-0.8494218,0.44604915,-0.07594877,1.6495249,-0.1979497,-0.50687754,0.04112759,-0.11889067
1.6601694,0.44014326,0.3726674,0.44130564,0.61601174,3.3417616,1.0333118,0.8412895,0.8383478,0.9708967
3.7854826,0.6742988,1.7316409,0.8823327,0.756569,3.461745,0.5953838,0.058930773,0.26103798,0.09893704
2.1884298,0.30791762,0.64300084,0.60414094,0.5726504,5.1023526,2.9442966,1.7353398,1.9055271,2.6192055
0.8486181,-0.2610167,-0.272775,-0.7526639,-1.2730057,5.859716,3.2370157,2.3836994,2.1716871,2.9862535
3.2285998,1.9156014,1.5389035,0.7254525,0.72976416,2.6959355,1.7498378,0.21931031,0.83447295,1.5483321
0.51721394,-0.078358255,0.16803442,0.121501625,-0.03823592,4.3727236,3.7703052,2.4004688,1.998785,2.7974207
3.7969975,1.2634302,0.19921602,0.016479822,0.2381308,3.277821,1.2185909,1.036968,1.4499637,1.9940654
1.2390364,-0.4462444,1.1048824,0.7959768,0.7684738,4.3910565,2.2926133,1.4808214,2.2740011,1.7230154
2.709856,0.6911061,1.3743186,0.7009604,0.85921735,2.0668254,0.38501364,0.61666214,0.26215622,1.1969634
1.9196569,1.570426,0.8046322,0.58186865,0.6578329,2.3112714,0.86318576,0.40996665,0.39768782,0.47493428
3.7157428,1.5816348,0.08311434,1.2696759,1.2688164,0.6474514,-0.25993142,0.19527148,0.3639908,-0.047776304
4.496628,2.392742,1.4316988,0.643369,0.86315054,1.135949,-0.28640968,0.063953646,-0.20124696,0.1013242
0.77135116,1.0807635,0.9430027,0.28156367,0.87458175,0.70013094,-0.06564211,-0.33261734,0.1561128,-0.40635124
3.0923965,0.9846541,1.3659017,1.5287302,1.0885495,3.9027064,3.1175864,1.8991266,2.1110451,2.5975902
3.2225978,0.8441862,1.299447,-0.49321163,-0.118121095,4.768839,2.0813518,1.3006976,1.3722664,1.4729698
3.6670623,2.8275578,2.180251,1.6533003,1.776412,3.0239751,2.7752826,0.95690745,1.9128162,2.284032
1.0131409,-0.9799534,0.5532596,0.6062813,0.5057279,4.446754,2.8854146,1.2847972,1.530954,2.5148637
4.4155045,1.8798295,1.1468953,1.5109068,1.759579,5.1161885,2.1297116,2.0557122,1.1827457,1.6060607
3.8696735,2.1829526,1.752014,1.6066403,1.5502468,4.3478785,2.3819585,1.3698523,1.96298,1.9980235
0.99591964,-0.35881704,-0.47546875,-0.3967416,-0.017825142,3.3664448,2.1251445,1.5087739,1.6296662,1.6436584
0.65397984,-0.30606684,0.17569982,-0.101067446,-9.224489e-06,4.9961567,2.9677935,1.7058785,2.6633775,2.048719
-0.29394016,0.32920823,-0.41292402,-0.64826626,-0.18598251,5.2321424,3.6198924,2.196319,2.5623183,2.3165302
-0.28513902,-0.6551087,0.17665042,0.53764755,0.039775576,0.8798017,-0.6549745,-0.2707977,0.13674521,-0.024698207
0.78312206,-1.0085833,0.49570745,0.44867885,0.66456676,4.1107087,2.104525,1.6478171,1.5458667,1.8169377
3.8651943,1.7929683,1.781568,1.7533362,1.4407499,4.501977,2.767151,1.5958567,2.1229517,2.1938407
1.2095344,0.061119974,-0.2717452,0.7066531,0.26298776,4.236482,1.3148162,0.64622766,0.9606145,1.1413672
2.6322794,0.68907404,1.7842675,1.2345732,0.77769524,1.2805147,1.4834923,0.22990671,0.50794595,1.1775467
3.1722026,0.53856915,2.1274934,1.6057618,1.2865211,7.317269,4.2104483,3.2462986,2.3551576,3.1732352
0.8426937,-0.09610347,0.13924176,0.21312429,-0.16436183,2.3082757,1.3196034,1.3640611,1.1192777,1.6835489
1.3100154,-0.72821534,0.50794166,-0.22063923,-0.36937925,5.2494063,2.6555984,1.4075954,1.5373807,1.9487945
-1.6265736,-0.7085012,-1.208549,-1.0813131,-0.73527527,2.487772,0.9345828,0.89368457,1.1606594,0.92763716
-1.5356438,-1.638799,0.98806,-0.5586379,-0.2872979,3.8418953,1.5542349,1.3892964,1.2870698,1.1752003
-0.04235589,-0.5348375,0.28407744,0.5598602,0.18040013,1.799613,-0.2470059,-0.077492654,0.49723187,0.1795114
2.0662577,1.3853333,1.2711208,0.029317275,0.5129531,1.1004195,0.8672112,0.8126337,1.0280957,0.38036758
3.4673681,0.8191428,1.1980203,1.7641324,1.3541019,1.3079555,1.1583337,0.5895546,1.724361,1.2558004
3.522101,0.9265861,0.6942176,-0.076992415,0.35921696,3.9680886,0.94116956,0.2185991,0.025858885,1.4364194
3.28123,0.12540244,0.34232262,0.19279623,0.29800516,0.54626817,-0.031353835,-0.8597163,-0.08800429,0.3256496
1.9121354,0.5572289,-0.8332057,-0.5701012,-0.10736023,4.3994365,2.3656127,1.3562627,1.6165159,2.125213
4.0282135,1.472475,1.3433148,1.1053053,0.42905685,3.607626,2.1098428,2.5298135,2.1428592,1.6290026
