train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
1.4787592,0.261735,0.14969729,-0.608531,0.0035548613,0.79396015,1.2952422,0.1606921,0.41744545,0.3491504,2.6060438
-1.5157279,-0.8192032,-1.4885397,-1.0239996,-0.87888885,5.214644,3.3174815,2.9469311,2.3747337,1.8161378,4.499901
2.711333,1.4310483,1.6147346,1.7179153,-0.083541416,4.01406,2.2857125,2.4529061,2.4958038,1.7701668,4.1344023
2.9377637,0.8792031,1.8940874,1.3154695,0.69989854,3.4235685,2.1085114,1.3474143,1.2135183,1.2284749,3.663068
-0.96949273,-0.43714,-0.70905584,-0.6842763,0.08393036,5.141162,2.502827,2.8115876,2.5697663,1.2757987,3.7836733
2.6413476,0.020417841,0.58285433,0.19566663,0.3723453,4.143561,1.7708558,1.8001577,2.1215837,1.0635881,3.4479814
2.2393281,0.915017,0.19128555,0.9557149,0.21319735,3.1510987,1.6841329,1.2080969,1.2332824,0.2924382,2.6960938
0.12608974,-0.05978516,0.07775537,-0.083636865,0.2182057,1.6495249,-0.21088219,-0.15750554,-0.3774141,-0.5053471,0.29282105
1.6601694,0.67364806,0.26818234,0.6453145,-0.07880749,3.3417616,1.0822097,1.3157943,1.0289322,0.42394647,2.5700614
3.7854826,1.4665314,1.2596666,1.0504384,0.80146813,3.461745,0.64042383,0.61144507,0.16057041,0.06796089,1.8567377
2.1884298,1.0128758,1.2612871,0.79794914,0.015497763,5.1023526,3.094249,2.258649,2.2067144,1.828372,4.403973
0.8486181,-0.15824874,0.10929883,0.035370283,-0.29980725,5.859716,3.389717,3.130579,2.7006214,1.9934875,4.6727095
3.2285998,1.0796443,1.2174121,0.55705726,0.94883376,2.6959355,2.241805,1.3725595,1.0073715,0.8359072,3.3444486
