train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
0.59575695,-1.2841192,-0.80211514,-0.9695607,-1.165689,0.1033209,1.0853478,0.685467,0.783723,0.7557521
2.2964315,0.5353044,1.3065511,1.3890004,1.3245826,1.134495,-0.7700711,-0.8587269,-0.571753,-0.5037009
1.2383069,0.22675757,-0.28115773,-0.101421684,0.30884033,1.1614034,0.6851702,0.3133269,-0.39912218,-0.00508442
-3.6644666,-2.864409,-2.1208856,-1.4116048,-0.9516333,-1.0644534,-0.013105316,1.5380825,1.3264805,1.3385237
0.98581606,1.085348,1.3084984,1.1752816,0.8811768,1.4951358,1.2371862,1.5572252,1.3426061,0.65876544
-0.30511194,0.83262134,0.46217158,0.9618275,0.8693863,0.52077246,-0.28218755,-0.004264827,0.39276487,0.18633172
1.2657379,-0.52564514,-0.45631,-1.0350219,-1.0096519,-0.24463227,0.007184612,0.36443883,0.5039598,0.5122601
0.64750034,1.8008553,0.5116108,0.25951117,0.80561244,-0.6825779,0.15818821,0.10935149,-0.19370018,-0.118891515
-0.5275363,-0.5119354,-0.5928005,-0.052384015,-0.1937701,1.225313,1.8260964,1.8787646,1.2485003,1.5328295
-0.9157642,-1.2473761,-0.12801246,-0.47323158,-0.11137906,-0.18593054,-1.1142383,-1.2939333,-1.0922446,-0.85691893
-0.702012,0.6800562,-0.01709136,0.24644838,0.10681839,0.8000361,0.53297305,-0.28896812,-0.2271401,-0.19878334
-1.1897327,0.7436978,-0.6762674,-0.62359226,-0.119856276,-0.50952226,-1.2244952,-1.6766329,-1.2714362,-1.0695791
-3.0430272,-0.9697109,-0.58225995,-0.7672627,-0.41099012,-0.6530621,0.09237078,0.106730744,0.06891809,0.22512633
-1.9975872,-1.4772953,-1.8793792,-1.4600468,-1.1827929,-0.37911877,-0.4533822,-0.5729314,-0.48857912,-1.0037378
1.451487,0.9054458,0.38210195,0.7334952,0.77829725,0.250097,0.45874178,-0.057587754,0.18530989,-0.04758226
-0.53260756,-1.7563537,-2.0658302,-1.8345064,-1.3457627,1.627902,1.4302603,1.1412389,1.1020824,0.56636566
