train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
3.1386626,1.8274685,0.6890681,0.96697456,0.8822784,0.79396015,-0.28151885,0.34981135,0.26010567,0.23812301
-1.3665013,-0.81109554,-0.11947374,-0.40257573,-0.5648737,5.214644,3.444643,1.7183492,1.6957365,1.6001147
-0.11149998,0.27444172,0.22407617,-0.4990317,-0.3587304,4.01406,3.1354833,1.867724,2.281953,2.2190459
0.79592633,0.3112362,-0.0022859552,-0.3011862,0.33829695,3.4235685,0.807978,0.20170428,0.54887366,0.52307916
0.6255155,0.12814288,-0.50524753,0.220955,0.38404465,5.141162,3.1543262,2.1263106,2.599174,2.2136483
3.0710914,0.90625536,0.882243,0.8459981,0.62200993,4.143561,1.8725309,-0.019689618,0.2418428,0.655831
3.47813,1.4813687,1.7684616,0.9025683,1.2345697,3.1510987,1.6992668,0.74192137,1.3586153,1.166094
-1.284431,-0.7336852,0.3519973,-0.30678746,-0.11500938,1.6495249,0.68203956,0.40143505,0.048537917,-0.08587283
0.31293833,-0.23911673,-0.0563725,0.30488276,0.0031268105,3.3417616,0.99376553,0.39995944,0.41096765,0.055570126
3.5638108,2.3916142,1.5286582,0.89453477,1.2369009,3.461745,1.8597106,0.047143478,1.1579902,1.2479508
0.06207683,0.64955735,0.28690773,0.18416686,0.25852713,5.1023526,2.2940588,0.8502114,1.3120219,1.1356215
3.465681,1.5702311,2.0646303,1.5594288,1.2464463,5.859716,2.4368095,1.5262505,1.6867841,1.7878305
-0.4646964,0.18838502,1.120316,1.0280259,0.80669785,2.6959355,1.9893769,1.45548,1.5353743,1.1707815
1.4311193,1.1176498,0.4748741,0.22634129,0.0826043,4.3727236,2.3748717,1.3339796,1.6912507,1.3820664
2.960157,1.0433613,0.99728346,0.49808323,1.06065,3.277821,-0.26749435,0.2680441,-0.29646355,-0.56328255
1.953703,-0.23691183,0.13004045,-0.4706295,-0.44547814,4.3910565,2.5939085,1.8845706,1.6411313,1.8754743
4.570659,2.5395198,2.239795,1.6490448,1.783371,2.0668254,-0.087123714,0.20177248,0.12135609,0.41048494
2.1689966,1.4152945,1.6022024,1.222456,0.52408487,2.3112714,1.6511264,0.4954571,0.8820123,0.9424425
1.5358568,-0.1741037,0.31305218,0.042346407,-0.12819812,0.6474514,0.7588574,0.7723163,0.71978027,0.6445037
4.3330984,1.7368121,1.1107019,1.068439,0.9118686,1.135949,0.36507067,-0.2859412,-0.19414559,-0.19901475
1.1383821,0.4123882,-0.4621935,0.4736104,0.093581714,0.70013094,0.2882069,0.37001196,0.36262402,0.22415015
1.7218777,0.18713754,0.5185265,0.47112447,0.0760851,3.9027064,2.2313097,1.6120123,1.612174,1.8188133
2.7320108,0.31427944,0.015335977,-0.5185019,-0.45733812,4.768839,1.5694014,1.3288885,1.322969,1.4451717
1.4130082,3.14022,1.6499761,1.8006419,1.9645296,3.0239751,1.2066897,0.7656809,0.78008574,0.92163974
1.7267963,1.0946692,-0.7541998,-0.14809409,0.6487937,4.446754,1.731613,1.0749528,1.503978,1.3971742
2.0251794,-0.17828287,-0.11030778,-0.2415921,-0.27891695,5.1161885,2.401339,1.1290826,1.2563474,1.1275263
