train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
3.1386626,1.9429862,1.0453742,1.0746387,0.5526186,0.79396015,-0.32248437,0.48608947,0.56166154,0.3834193,0.9620254
-1.3665013,-0.3761479,-0.25534925,-0.1317127,-0.23958334,5.214644,3.891533,2.1027575,2.300796,2.0493147,5.6474895
-0.11149998,0.7226979,-0.36210772,-0.08420832,-0.120197624,4.01406,3.532327,2.5783906,2.527198,2.1428366,5.2952766
0.79592633,0.33275047,0.52692926,0.20861934,-0.0610883,3.4235685,0.6836245,0.7868451,0.9657624,0.79150635,1.6833789
0.6255155,-0.2784522,0.37493545,0.39984354,0.29966784,5.141162,3.6174068,2.571845,2.518478,2.2799118,5.4407754
3.0710914,1.4044228,0.9214581,0.97139555,0.38898483,4.143561,2.2301579,1.2808876,1.0822407,0.70862705,3.3215039
3.47813,1.82141,1.47978,1.5016254,0.9317741,3.1510987,1.9845695,1.6143233,1.3513868,1.0657079,3.1655085
-1.284431,-0.11511672,0.07754932,-0.3788309,-0.1673441,1.6495249,0.84656566,0.44343778,0.451075,0.4009212,1.7056829
0.31293833,-0.27933812,-0.16318212,0.44342422,0.16685799,3.3417616,1.285847,0.651521,0.8889813,0.8678608,2.304406
3.5638108,1.5255271,1.5778275,1.4633088,1.0135727,3.461745,2.219251,1.5780296,1.2326739,1.1839877,3.478376
0.06207683,0.19367771,0.33186492,0.4999304,-0.3851892,5.1023526,2.3254385,1.4151801,1.578918,1.3363227,3.655617
3.465681,1.6002392,1.6996096,1.7231785,1.3976971,5.859716,2.910401,2.2802403,1.6143452,1.2906158,4.2981677
-0.4646964,0.35880005,1.2993578,0.9741601,1.1251839,2.6959355,2.3143017,1.6059927,1.5830761,1.4755185,3.6942677
1.4311193,1.5988188,0.76240975,0.84600663,0.6748899,4.3727236,2.5972795,1.7376565,1.646427,1.4857221,4.0188394
2.960157,1.6057589,0.5952797,0.67700046,0.49211478,3.277821,0.06557261,-0.14678735,-0.24840212,-0.026190838,1.0397847
1.953703,0.33232075,-0.30033624,-0.027651073,0.107393056,4.3910565,2.9052045,2.3686917,2.046302,1.911505,4.521085
4.570659,2.406458,1.5677801,1.9463546,1.3852798,2.0668254,0.24017122,1.0327865,0.6258908,0.6381047,1.3009384
2.1689966,1.2449033,1.8029623,1.7108284,1.3130375,2.3112714,1.8018819,1.3096256,0.9068305,0.7677215,2.848276
1.5358568,-0.34202734,-0.11698924,0.00556728,0.019860208,0.6474514,1.04862,0.96965384,0.8700411,0.6445412,1.9781398
4.3330984,1.2500746,0.7567672,1.4904217,0.75486404,1.135949,0.4462858,0.20181392,0.0950473,0.28036526,1.3408068
1.1383821,1.0057018,0.47804806,0.10919709,0.10234896,0.70013094,0.6634939,0.6486539,0.564025,0.6744794,1.6272904
1.7218777,0.9869309,0.7962133,1.0385393,0.73534626,3.9027064,2.4932537,2.0242076,1.798697,1.7203149,3.9885514
2.7320108,0.6931829,-0.30654162,-0.4499286,-1.0888202,4.768839,1.6628667,1.6706673,1.2227587,0.77639884,2.6921985
1.4130082,2.2207181,1.6859373,2.1498997,1.6314007,3.0239751,1.5143539,1.3061794,1.2028595,0.89040667,2.5647683
1.7267963,0.514361,0.18156955,0.35646707,-0.36347872,4.446754,2.2283506,2.0678864,1.5318776,1.1955099,3.493012
2.0251794,-0.006910214,-0.17191505,0.03446375,0.16861711,5.1161885,2.6740923,1.4326569,1.4230148,0.997985,3.9289432
2.2586036,0.32237023,0.7478971,0.27858683,0.5494197,4.3478785,2.2773726,2.4246655,2.1248484,1.7253472,3.7455506
3.4757078,0.7561006,0.50510913,0.76133406,0.64662856,3.3664448,1.3683652,1.4523871,1.4402456,1.0526263,2.461505
1.1070739,0.29569674,-0.07899769,-0.05383564,-0.044913754,4.9961567,2.6482172,2.0484228,2.138897,1.7258058,4.165049
0.64313745,-0.115539975,-0.76968324,-0.7856778,-0.2845534,5.2321424,3.2395723,2.404376,2.5926335,2.3481061,5.0571384
1.7427665,0.29916376,0.396147,0.48449418,0.2623083,0.8798017,1.1042818,0.7121102,0.88135135,0.89936733,2.1234083
-1.5952522,-0.9990079,-0.7315206,-0.7051702,-0.83105606,4.1107087,2.720782,1.1882095,1.3078877,1.1517018,4.0363684
4.4786506,1.1920998,1.296975,1.1821238,1.1413863,4.501977,2.7259643,2.5079663,2.327517,1.8753552,4.308156
2.3136888,0.7878117,0.27967355,-0.09109746,-0.018570423,4.236482,2.227505,2.1038775,2.053841,1.8829387,3.7485776
0.7040477,1.4669216,1.2707224,1.0601224,1.1442295,1.2805147,1.0166359,1.2489073,1.0179169,0.6056574,1.9331478
1.6980224,0.30464065,1.0262291,0.647917,0.24184044,7.317269,3.1781864,1.8911027,1.5548271,1.3641292,4.620375
0.58480716,1.38719,1.1415253,0.94051886,0.6109034,2.3082757,0.69085205,0.23612295,-0.17395264,0.06932138,1.4822711
2.9687061,0.079326436,0.61045724,0.40932512,0.518254,5.2494063,3.5215206,2.7071862,2.5123503,2.127354,5.277602
-0.57313985,0.68069166,0.044741616,-0.05690752,-0.06613596,2.487772,0.976192,1.137005,1.0107502,0.9641498,2.0167046
-0.65071976,-0.8471953,-1.429552,-1.1232905,-0.81936735,3.8418953,3.5617015,3.0383444,2.7580423,2.373785,5.4176636
2.6962593,1.8561976,0.989302,0.72774476,1.1691552,1.799613,0.52504903,0.725945,0.8563656,0.6816737,1.5162398
0.20999467,0.00848512,0.21658759,0.5726744,0.45043054,1.1004195,0.8570068,0.8948877,0.8693358,0.45720643,1.7320637
4.4172015,1.5390763,1.0680747,0.58480394,0.11748351,1.3079555,0.10483981,0.4773381,0.15709952,0.25646004,1.1188998
3.5329335,1.8664606,1.697879,1.5924364,1.5796732,3.9680886,3.0137012,1.2778131,1.8271621,1.675132,4.5528536
2.740083,1.2568376,1.1401386,1.7188746,1.0839833,0.54626817,0.031177446,0.7597536,0.68336105,0.43059745,1.1233218
1.1095796,1.9636542,0.94849426,1.5195757,1.3008294,4.3994365,1.9323416,0.82893145,1.2209821,1.2468132,3.171886
3.2056644,1.7139864,0.16224472,-0.1301675,-0.2990328,3.607626,1.4455371,0.7475083,0.5400466,0.6413118,2.4005666
-1.6651266,0.5665139,0.5827037,0.06760108,-0.36146176,2.4259956,1.9702702,1.1839999,1.1131582,1.2430187,3.2140653
1.0220221,0.4823165,0.6888399,0.8864289,0.47689584,0.750769,0.39562955,0.40867645,0.3276653,0.2633781,1.3005143
1.9966089,2.186283,1.1623635,0.9421053,0.38464156,1.1401969,-0.16782796,-0.4159995,-0.3751231,-0.10749444,0.9214661
2.09992,-0.08544772,0.5543019,0.5183208,0.3662609,0.12644789,0.19393677,0.038196072,-0.33625323,-0.26236317,1.0715803
2.70067,-0.1772695,0.14019966,0.39382777,0.58063555,1.9923072,0.83993185,0.8284367,0.43123043,0.18003553,1.6396536
5.07034,2.1869848,1.6619705,1.6101898,1.2929003,2.5786324,0.49793294,-0.0020525963,-0.1129097,0.1591031,1.3492613
-0.5293235,-0.8746341,-0.5917353,-0.3899427,-0.55323255,2.2803223,2.6112509,1.6947944,1.7586973,1.361733,3.9891555
2.0676246,-0.43478474,0.045872338,-0.5554545,-0.014746525,1.7443216,1.2331067,0.31469736,0.80345756,1.0302504,2.306439
2.3790681,0.81943893,-0.042390548,0.2856647,0.25968966,1.562248,0.40750366,-0.5971789,-0.40768895,-0.21465144,1.2122751
-0.0019407696,1.3072114,0.5968907,-0.16408709,-0.07436804,2.8006742,1.8663762,1.6361141,1.4175174,1.3194593,3.1230857
0.9790823,0.8349083,0.9944366,0.78525245,0.83864653,4.332835,1.9839426,1.4868144,1.5132321,1.3011367,3.2512484
2.0101836,0.6747131,0.4081217,0.3989934,0.6744407,2.5107112,1.7587165,1.1749644,1.1205127,1.0577816,2.9031434
-0.571254,-0.7797029,-0.0672804,-0.7290816,-0.2663263,6.0872636,2.1445718,1.7866349,1.684737,1.3813461,3.465309
4.6093383,2.6731641,1.8039272,2.0456705,1.418737,3.8876355,2.2091894,1.2576126,1.4830058,1.4053711,3.5482154
1.389846,1.3767447,1.4175178,0.8354321,0.671458,0.063032135,1.1798373,1.1177002,1.2601178,1.0860443,2.2701516
1.5094202,1.2024435,1.7371193,1.027926,0.7034568,3.598957,1.1199251,0.5757301,0.012801457,-0.29365286,1.8145207
3.2357597,1.7760098,1.2900345,0.58757037,0.55434257,0.3345233,-0.19790591,-0.7361711,-0.7237188,-0.38216037,0.87465286
0.16903986,0.3560617,1.3994211,0.8827579,1.673425,2.3759496,1.7608806,1.8389494,1.765976,1.2818431,2.988284
2.9078496,0.7828754,0.79560274,0.25651175,-0.10074365,3.2971013,1.662231,0.5621605,0.9579875,0.8018037,2.700443
1.478434,1.1404626,0.8864789,1.270317,1.2322612,1.9638534,0.87468916,0.64882255,0.70349187,0.8741696,1.8859402
0.5728367,1.0031011,-0.024936493,-0.14109343,-0.48815936,2.7635207,1.9963226,1.025788,0.9551341,1.2924364,3.2622502
0.29121035,0.34237218,0.29036522,0.19430599,0.4119236,0.98821867,0.720612,0.36899543,0.44694558,-0.028366685,1.4867555
1.6074922,1.5648333,1.1938636,0.991991,0.64312863,3.710627,2.608135,1.8645518,2.1535296,1.8706133,4.1744533
1.7462356,-1.1467744,-0.22284095,-0.54876506,-0.8084025,2.5524092,0.92809707,0.3187553,0.6259032,0.48283365,1.8072495
3.2415915,3.5318213,2.775362,2.5415301,1.6798376,0.013602835,0.426017,0.45622826,0.2734453,0.43761837,1.3682278
4.7249374,1.867774,0.90294695,0.85701054,0.71571314,3.0407689,1.5791829,1.0100901,1.1706903,1.269476,2.7770584
1.7044045,-0.24853684,-0.40642014,-0.28885671,-0.22591989,0.2431945,0.25452077,0.118534364,-0.19747716,-0.07443481,1.1365471
2.338423,2.293078,1.1529996,1.0748692,0.7606011,4.0955806,3.422026,1.9147624,2.0555508,2.0490975,5.139678
5.6418,2.9450092,2.0390832,1.5970244,1.0803529,2.9246225,1.4208581,0.8589034,1.1434007,1.089193,2.5329154
0.9509537,1.1485717,1.6867652,1.1182965,1.4595723,1.4170907,2.1124465,1.6177821,1.5092654,1.0302408,3.299813
0.21800148,0.9903326,0.39075017,0.3329348,0.5659325,4.8969994,2.2356174,1.3266649,1.3906332,1.5190419,3.6206357
2.850576,0.4367977,0.3575714,0.26544267,0.79680926,3.676346,1.4662467,0.50317186,0.40960935,0.6547353,2.4281726
0.70572424,-0.69146514,-0.54140544,-1.0870364,-0.36034745,-0.2216243,-0.19917645,0.43777528,0.3161613,0.25603834,0.97779
3.844474,2.131866,1.2997131,0.74960047,0.9505983,2.7337224,1.6486557,1.0044822,1.0937408,0.8296617,2.6948786
2.5807292,0.75796986,0.8587284,0.38928518,0.44259265,3.4100764,2.3242583,1.600422,1.3424383,0.8738583,3.487112
2.4332936,-0.10859842,-0.28582326,-0.05449492,-0.19537634,2.9442232,1.694451,1.5737681,1.2139529,0.8325415,2.7481122
2.2075038,1.3402948,0.51847726,0.03432906,0.15058933,2.5250578,2.5875223,1.3977063,1.2169948,0.853841,3.7802298
-0.87630826,-0.1741197,-1.1739556,-0.5936851,-0.30871937,5.645271,3.7068126,2.8500402,2.7277076,2.2595572,5.5294676
1.2333735,1.1801473,1.6124723,1.6351025,0.950968,-0.95741665,0.35209045,0.5645467,0.8081923,0.9382825,1.4717352
