train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
2.4590871,0.024058089,0.894212,1.4693158,0.94097847,0.1033209,0.61102664,0.15071732,0.42637283,0.54306084
-0.18817522,-0.9401165,-0.6589062,-0.8779799,-0.43848953,1.134495,0.3730288,-0.21814057,-0.71597004,-0.22221257
1.9863119,0.8234819,-0.1652498,-0.74183774,-0.6454883,1.1614034,0.46506256,0.014026494,-0.09614368,-0.078762054
0.60218865,0.15370837,0.90047026,0.1289556,-0.20630737,-1.0644534,-0.8622997,0.4241503,0.1726073,0.6045534
-0.68141097,-1.6937152,-1.2750084,-0.69017637,-0.7427371,1.4951358,1.0275948,0.22011116,0.2583125,-0.03493339
-3.568681,-1.3318564,-2.1615808,-2.4324484,-1.8547181,0.52077246,-0.17288516,-0.46340042,-0.44476354,-0.06577528
5.5714116,4.249336,3.088978,3.5311291,3.4083204,-0.24463227,0.34734422,0.43854526,0.8040319,0.62447643
-5.18775,-3.9156256,-3.403423,-3.0590432,-3.504335,-0.6825779,-0.042745046,-0.14172696,0.1440038,0.1699496
-0.47215593,-0.20031773,-0.25604996,-0.6539737,0.05243835,1.225313,1.5083479,1.7239629,1.7660937,1.5825284
-2.5556018,-1.0403281,-1.1957937,-1.134678,-0.9180519,-0.18593054,0.04705206,-0.14578016,-0.21076912,-0.18598412
-0.2417252,0.67159826,1.2764156,0.5642662,0.8652485,0.8000361,1.0385729,0.5652168,0.29452512,0.88838047
-3.0515418,-1.1869447,-0.19082081,-0.04230719,-0.33460578,-0.50952226,-0.55604225,-0.53718334,-1.0124478,-0.5716653
-0.5575535,0.5419771,0.4720224,0.5552236,0.5401921,-0.6530621,-0.31890118,0.26099086,0.03736539,0.100095
-0.5930581,-0.44693723,0.073874496,-0.35361463,-0.38103083,-0.37911877,0.6125821,0.64923126,0.15131006,-0.12781714
-2.820358,-2.6040413,-3.5188243,-2.315859,-2.495958,0.250097,0.25253683,0.46638268,-0.14062746,0.13246472
0.45702982,0.23145656,0.2864859,0.954618,0.32444346,1.627902,1.8194555,0.873666,1.7511516,1.207715
-0.4897186,0.74036443,0.30086488,0.71116835,-0.16335326,2.797089,2.8773355,1.9947321,2.1989563,1.4623048
-1.9583203,-0.8268972,-1.085987,-1.7185558,-0.8567664,-1.0074909,-0.37848496,0.15706965,-0.19494458,-0.28436938
1.256049,0.7533654,-0.04980509,-0.03939619,0.24528825,-1.4082435,-1.2805058,-0.81857353,-0.9708107,-0.970141
-0.09974811,-1.3861305,-1.645959,-2.2405949,-1.303607,2.015592,1.7401342,1.4304159,1.6746504,1.5500349
-1.2699348,-1.7910908,-0.7774017,-0.44698745,-0.35551348,1.1498761,0.14283001,0.20101331,-0.006419873,0.32391948
-1.2833265,-1.9046469,-2.4160094,-2.014875,-1.8631669,-1.386449,-1.3529786,-1.4004551,-1.2108546,-1.0730717
-0.19159804,-1.4907477,-1.0659515,-0.88430834,-0.85573566,2.9168253,2.575693,2.079495,1.7582092,1.69167
1.2994872,0.5725711,0.36529937,0.8692173,1.1087345,1.469822,1.1926877,-0.1055909,-0.3291081,-0.06440396
-3.3656268,-0.9656237,-0.45251018,-0.5925282,-0.51942873,-0.7165105,0.080841504,0.05402001,0.18407343,0.26678994
0.24598569,-0.043560386,-0.24864262,0.06912116,0.42046958,1.495611,0.7796584,0.24310635,0.37042376,0.33045778
1.2125243,0.42572454,0.036528617,0.17171596,0.43927455,-1.2440974,-0.8189925,-0.10371915,0.12894712,-0.3158382
0.08729455,0.91304827,1.109994,1.4770253,0.9592894,-0.34560832,-0.17281555,-0.40494582,-0.15091217,-0.21805051
1.5173683,2.363092,1.6806829,2.1786814,1.2117398,-0.89951104,-1.0259407,-0.9295582,-0.9070459,-0.5718922
4.1480536,1.546689,2.2132692,1.8205842,1.7062602,1.0880241,0.9858857,0.2581207,0.67319024,0.5986605
1.7437224,1.1519219,1.0048136,1.209535,1.0118799,-0.35812315,0.015001319,0.32931483,0.17977068,0.48842117
0.041702863,-0.9654612,0.4615615,1.2898239,0.8772465,2.21893,1.7727798,1.3155782,0.74256706,0.58094484
-1.2110579,-2.001101,-1.3383389,-1.7617348,-2.1098692,0.22199914,0.33038232,0.33815292,0.84483397,0.6593518
3.413995,2.7061179,2.3921616,1.8066908,2.0971658,1.9755391,1.4946187,0.8346423,0.6887668,0.6702689
-0.7670058,-0.11316236,0.20238476,-0.30046314,-0.3562985,2.2892747,1.4184402,0.74624354,0.51997757,0.713184
-1.8283659,-1.2808006,-1.1321094,-1.943699,-1.0282745,-0.20087226,0.48092166,0.62583137,0.79742116,0.3683629
-1.5487983,-0.45395988,-1.0807414,-1.3913198,-1.1778059,-0.80382127,-1.165727,-0.34866303,-0.6064976,-0.6739632
-1.2705492,-0.45766053,0.55946726,0.47169924,-0.15389928,1.899641,1.2998087,0.43532512,0.14880675,-0.33339658
-0.9088151,-0.6851699,0.073284425,0.19420654,-0.05069884,0.026403874,-0.1770541,0.07591609,-0.45769086,-0.07905949
2.2204256,2.2245548,1.5878925,1.350851,1.2652799,2.1225045,2.172895,2.2071564,2.076824,1.6882386
-3.49287,-1.4041423,-1.1846712,-0.7746361,-0.8443989,-3.297944,-2.086068,-1.7993551,-1.7812418,-1.8581854
3.8901567,3.0898807,2.6305976,2.2222295,2.6285412,0.34377334,0.32413024,0.5844735,0.8383378,0.12533863
1.1775739,0.7240904,0.72821164,0.72575843,0.23456283,1.0101833,1.1406926,1.3360213,0.7589993,0.5466414
2.6561,1.5461333,1.2570565,0.50185835,0.83514136,-0.18665634,-0.13106132,0.5592654,0.645572,0.9666301
3.0981002,1.728231,1.7477087,1.9599819,2.0260062,0.033437543,-0.8653277,-0.54396933,-0.35132492,-0.41495794
1.9557203,1.4497828,0.8370685,1.6394184,1.6664311,-2.0377824,-1.6924181,-1.3086708,-1.3704216,-0.7015633
-1.5613636,-1.0965915,-0.9432334,-0.7865832,-0.83714706,-0.825735,-1.0064702,-0.7011978,-0.2818685,-0.1957679
1.3596432,0.6234073,0.40180713,1.0416027,0.35098085,1.509421,0.6839622,0.06533731,0.5678342,0.7948025
-2.2273555,-1.1366107,-1.0796224,-0.9089155,-1.210032,-2.5593798,-1.7003641,-0.60548514,-0.48184383,-0.57444125
