train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
1.7882022,0.58501136,-0.051722746,0.29747757,0.8930215,0.79396015,0.46992508,-0.27407455,-0.36132464,-0.2883484
1.606616,-0.5324393,-0.33781493,-0.7720868,-0.5313824,5.214644,2.5011895,1.6509703,1.6585418,1.4095802
1.5297258,0.30790955,-0.097416826,-0.24493688,-0.4011913,4.01406,1.663423,1.2194464,1.4127362,1.3216822
1.4293562,-0.52058953,-0.15249196,0.42038006,-0.08258818,3.4235685,0.9317889,0.84398454,0.2633814,0.55807674
2.2189426,-0.014256713,0.29138562,-0.74312407,-0.49154362,5.141162,2.5929244,1.5011128,1.840185,1.5744015
0.7336009,-1.7216152,-1.5774112,-1.3555692,-1.083464,4.143561,1.380931,0.44576326,0.5551661,0.702909
-1.124218,-0.50182635,-1.1099169,-0.5884714,-1.4453429,3.1510987,1.4089739,0.39387864,-0.08657123,0.030677017
0.9326486,-0.20581576,0.30038676,-0.47031632,-0.35567477,1.6495249,0.8884411,-0.10253257,-0.26878276,0.06396851
-0.23079534,-1.3541229,-0.963191,-1.1918117,-1.0850291,3.3417616,0.6988383,-0.52789146,-0.32115245,-0.45180333
3.1503916,0.23144266,0.2577644,0.43481788,0.1422303,3.461745,1.2012913,-0.39027622,0.9159803,0.04376359
0.082992226,-0.6865459,-0.22572194,-0.7161104,-0.6941145,5.1023526,2.3432589,1.4047389,1.9613156,1.7805175
-0.007975268,-1.4624225,-1.1167933,-1.5144275,-1.1377822,5.859716,2.4841714,1.4936974,1.7129856,1.4662579
-1.0154601,-1.2162867,-0.5521851,-0.56665707,-0.6983704,2.6959355,1.5919408,0.8169695,0.7949583,0.8718588
-0.17712976,-1.1968546,-0.8262283,-1.1495208,-1.2859874,4.3727236,3.0321202,1.4386562,1.6722013,1.4407003
-1.9606123,-1.2198597,-2.230613,-1.9017211,-1.8282807,3.277821,-0.028394284,-0.4899093,-0.6607216,-0.19351575
0.4444708,-1.7642173,-1.7844768,-1.6815133,-1.406333,4.3910565,1.8500143,0.78358805,1.1564201,0.90814453
1.7842736,-0.50902313,-0.7927859,-0.37853065,-0.50455,2.0668254,1.2848678,0.24459337,0.45987746,0.4023625
2.382398,0.14465609,0.16458131,-1.2171414,-0.732387,2.3112714,0.84601253,-0.19626102,-0.048278846,0.3162413
1.5191959,-0.85067886,-0.98662895,-1.3646317,-0.5899066,0.6474514,-0.6026385,-0.604564,-0.3255142,-0.4051051
2.6523943,-1.3963085,-2.219412,-1.4252278,-1.2805897,1.135949,-0.3790288,-0.76252115,-0.08444965,-0.61359435
2.4790525,-0.5637485,-0.93208194,-0.5213215,-0.19971141,0.70013094,0.034791466,-0.5414858,0.05963304,-0.18579473
-1.9643294,-0.40466934,-0.59726536,-1.0505829,-1.3045942,3.9027064,1.8970869,1.0775406,1.3458682,1.5478736
2.8832114,-0.31376672,-0.84118485,-1.217402,-0.5748203,4.768839,1.7212807,0.93288326,1.747956,1.4332039
1.4895608,0.24249929,0.05846549,0.62135684,0.50784403,3.0239751,1.3695058,0.8822407,1.8178881,1.5511149
-0.0981015,-0.52873707,-0.40553504,-0.86894304,-0.89514655,4.446754,1.795993,0.89668226,1.1042414,0.6973662
4.4289546,2.0051985,1.3250349,1.7034788,1.51486,5.1161885,2.1647835,0.7184512,1.5351632,1.1308594
3.6437445,-0.41148165,-0.099766955,-0.24263006,-0.2036343,4.3478785,1.8168123,1.481487,1.4122499,1.5195054
3.5577183,1.2126303,0.91447634,0.14871116,0.47540462,3.3664448,1.1858099,0.60917175,1.0715871,1.1701771
1.0891008,1.1053126,0.38503435,0.18126541,0.50072163,4.9961567,2.122782,1.1741459,1.4807026,1.3643526
1.2426115,1.4273095,0.88556886,0.25933197,-0.109200776,5.2321424,2.8317337,1.515117,1.6363212,1.3096013
3.5982702,0.78378475,0.7342821,0.60443044,0.94635636,0.8798017,0.016990094,-0.18980148,-0.1759438,-0.29793566
-1.0769521,-0.56158733,-0.4389691,-0.63190585,-0.9741176,4.1107087,2.522422,1.052444,1.1189216,1.1728628
0.45581666,-1.1193689,-1.4976803,-1.739541,-1.2486358,4.501977,2.0432804,1.0079213,1.4979085,1.1610789
3.3628461,-0.42861933,-0.32831207,-0.51794684,-0.08382906,4.236482,1.1370965,0.8176698,0.7891218,0.72790176
0.67568284,0.28354225,0.22713277,0.18100604,0.047288936,1.2805147,0.5493331,0.3420409,0.6342727,0.16043158
1.9768199,-1.2877142,0.54546976,-0.36657947,-0.5647268,7.317269,2.5718374,1.8356829,1.6212592,1.7956101
0.010913963,-0.69703436,0.37806883,-0.33943948,-0.13108565,2.3082757,1.0021644,-0.30068484,0.09435487,-0.22194652
4.067699,1.1460619,1.4411905,0.7175604,1.4005274,5.2494063,2.5474117,1.3789763,1.5962555,1.1199
-0.2505773,-0.064854264,-0.5770749,-0.41565013,-0.89172757,2.487772,0.48391047,-0.420896,-0.2953196,0.11781885
